short_name,structure,species,n_models,n_candidates,hotspot_mean,hotspot_std,hotspot_cv%,shielded_cand_mean,shielded_cand_std,iface_shielding_mean,iface_shielding_std
A1,Anas_G20030CU,Anas,50,90,68.0,0.0,0.0,13.64,0.8514093957572194,3.533544609468488,0.8402207385899253
A2,Anas_G39213VZ,Anas,50,97,77.0,0.0,0.0,17.9,0.46291004988627565,2.509415525718022,0.40570592087540536
A3,Anas_G59471TH,Anas,50,95,75.0,0.0,0.0,17.94,0.46991097723995795,2.9662601585455466,0.41709148458817746
C1,Columba_G18938DW,Columba,50,110,82.86,0.35050983275386566,0.4230145217883969,23.58,0.7024737630368141,3.8189223320651684,0.39320469582454065
C10,Columba_Hex11_GS00635,Columba,50,109,82.0,0.0,0.0,23.28,0.4535573676110727,4.046855047666582,0.49280016682305844
C11,Columba_NeuAc1_GS00061,Columba,50,102,76.0,0.0,0.0,21.5,0.5050762722761054,4.761441981653516,0.5567662187908089
C12,Columba_NeuAc1_GS00062,Columba,50,105,80.0,0.0,0.0,21.46,0.7059513771774762,5.086275889873664,0.4012418418812281
C13,Columba_NeuAc1_GS00496,Columba,50,110,81.0,0.0,0.0,22.92,0.34046786536608525,5.9968631328272854,0.32771794640784035
C14,Columba_NeuAc1_GS00917,Columba,50,101,75.0,0.0,0.0,20.0,0.0,6.11695873904353,0.8515145148305615
C2,Columba_G19958IL,Columba,50,107,79.0,0.0,0.0,22.86,0.3505098327538656,6.71857667673342,0.48091251110875605
C3,Columba_G20030CU,Columba,50,107,80.0,0.0,0.0,23.04,0.49321932861805906,2.667588972396757,0.6004877752292308
C4,Columba_G49478NM,Columba,50,97,72.0,0.0,0.0,19.5,0.5050762722761054,5.799340956165362,0.7812860242772087
C5,Columba_G57930PW,Columba,50,104,77.0,0.0,0.0,22.62,0.49031435147801467,7.071592173896226,0.2462404308032698
C6,Columba_G59471TH,Columba,50,110,81.0,0.0,0.0,22.58,0.4985693819032899,5.135388704526498,1.4001295205015607
C7,Columba_G64411TU,Columba,50,105,79.0,0.0,0.0,22.46,0.676425177242955,6.239252335227834,0.42965376105949005
C8,Columba_G74645FT,Columba,50,110,80.0,0.0,0.0,22.06,0.5499536158548617,5.895332295774339,0.17361019967132368
C9,Columba_G75051CY,Columba,50,107,79.0,0.0,0.0,23.96,0.6986868148935704,4.99768056038319,0.5806336813886502
G1,Gallus_G80966KZ,Gallus,50,107,90.0,0.2857142857142857,0.31746031746031744,24.04,0.1979486637221574,1.3952960583843848,0.5818761531697397
