index,status,year,matched_title,doi,crossref_url,pdf_url,filename,note,reference
001,downloaded,2021,"Avian eggshell biomineralization: an update on its structure, mineralogy and protein tool kit",10.1186/s12860-021-00350-0,https://doi.org/10.1186/s12860-021-00350-0,https://link.springer.com/content/pdf/10.1186/s12860-021-00350-0.pdf,"001_2021_Avian_eggshell_biomineralization__an_update_on_its_structure,_mineralogy_and_protein_tool_kit.pdf",downloaded,"1. J. Gautron, L. Stapane, N. L. Roy, Y. Nys, A. B. Rodriguez-Navarro, M. T. Hincke, Avian eggshell biomineralization: an update on its structure, mineralogy and protein tool kit. BMC Molecular and Cell Biology 22, 11 (2021)."
002,matched-no-open-pdf,2009,Protein constituents of the eggshell: eggshell-specific matrix proteins,10.1007/s00018-009-0046-y,https://doi.org/10.1007/s00018-009-0046-y,http://link.springer.com/content/pdf/10.1007/s00018-009-0046-y.pdf,,non-pdf response (text/html; charset=utf-8),"2. M. L. H. Rose, M. T. Hincke, Protein constituents of the eggshell: eggshell-specific matrix proteins. Cellular and Molecular Life Sciences 66, 2707-2719 (2009)."
003,matched-no-open-pdf,2024,Complexity of avian evolution revealed by family-level genomes,10.1038/s41586-024-07323-1,https://doi.org/10.1038/s41586-024-07323-1,https://www.nature.com/articles/s41586-024-07323-1.pdf,,"HTTP Error 303: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
See Other","3. J. Stiller, S. Feng, A.-A. Chowdhury, I. Rivas-González, D. A. Duchêne, Q. Fang, Y. Deng, A. Kozlov, A. Stamatakis, S. Claramunt, J. M. T. Nguyen, S. Y. W. Ho, B. C. Faircloth, J. Haag, P. Houde, J. Cracraft, M. Balaban, U. Mai, G. Chen, R. Gao, C. Zhou, Y. Xie, Z. Huang, Z. Cao, Z. Yan, H. A. Ogilvie, L. Nakhleh, B. Lindow, B. Morel, J. Fjeldså, P. A. Hosner, R. R. da Fonseca, B. Petersen, J. A. Tobias, T. Székely, J. D. Kennedy, A. H. Reeve, A. Liker, M. Stervander, A. Antunes, D. T. Tietze, M. F. Bertelsen, F. Lei, C. Rahbek, G. R. Graves, M. H. Schierup, T. Warnow, E. L. Braun, M. T. P. Gilbert, E. D. Jarvis, S. Mirarab, G. Zhang, Complexity of avian evolution revealed by family-level genomes. Nature 629, 851-860 (2024)."
004,matched-no-open-pdf,2020,Avian eggshell formation reveals a new paradigm for vertebrate mineralization via vesicular amorphous calcium carbonate,10.1074/jbc.ra120.014542,https://doi.org/10.1074/jbc.ra120.014542,,,Matched DOI but no direct open PDF URL found,"4. L. Stapane, N. L. Roy, J. Ezagal, A. B. Rodriguez-Navarro, V. Labas, L. Combes-Soia, M. T. Hincke, J. Gautron, Avian eggshell formation reveals a new paradigm for vertebrate mineralization via vesicular amorphous calcium carbonate. Journal of Biological Chemistry 295, 15853-15869 (2020)."
005,matched-no-open-pdf,2021,CAFE 5 models variation in evolutionary rates among gene families,10.1093/bioinformatics/btaa1022,https://doi.org/10.1093/bioinformatics/btaa1022,https://academic.oup.com/bioinformatics/article-pdf/36/22-23/5516/50715884/btaa1022.pdf,,HTTP Error 403: Forbidden,"5. F. K. Mendes, D. Vanderpool, B. Fulton, M. W. Hahn, CAFE 5 models variation in evolutionary rates among gene families. Bioinformatics 36, 5516-5518 (2021)."
006,matched-no-open-pdf,2017,Identification of NGlycosites in Chicken Egg White Proteins Using an Omics Strategy,10.1021/acs.jafc.7b01706.s001,https://doi.org/10.1021/acs.jafc.7b01706.s001,,,Matched DOI but no direct open PDF URL found,"6. F. Geng, Y. Huang, Y. Chen, D. Yao, Z. Jiang, M. Huang, Identification of N-glycosites in chicken egg white proteins using an omics strategy. Journal of Agricultural and Food Chemistry 65, 5357-5364 (2017)."
007,matched-no-open-pdf,2025,Proteomic and N-glycosylation analysis of fertile egg white during storage and incubation in chickens,10.1016/j.psj.2024.104526,https://doi.org/10.1016/j.psj.2024.104526,https://pmc.ncbi.nlm.nih.gov/articles/PMC11635699/pdf/main.pdf,,non-pdf response (text/html; charset=utf-8),"7. D. Dai, X. Wang, K. Wu, F. Lan, J. Jin, W. Zhang, C. Wen, J. Li, N. Yang, C. Sun, Proteomic and N-glycosylation analysis of fertile egg white during storage and incubation in chickens. Poultry Science 104, 104526 (2025)."
008,matched-no-open-pdf,2000,Composition of N-linked carbohydrates from ovalbumin and co-purified glycoproteins,10.1016/s1044-0305(00)00122-7,https://doi.org/10.1016/s1044-0305(00)00122-7,,,Matched DOI but no direct open PDF URL found,"8. D. J. Harvey, M. Rudd, R. A. Bateman, R. H. Bordoli, R. E. Donovan, J. B. Howes, Composition of N-linked carbohydrates from ovalbumin and co-purified glycoproteins. Journal of the American Society for Mass Spectrometry 11, 564-571 (2000)."
009,matched-no-open-pdf,1982,Structural study of the carbohydrate moiety of hen ovomucoid. Occurrence of a series of pentaantennary complex-type asparagine-linked sugar chains.,10.1016/s0021-9258(18)33585-3,https://doi.org/10.1016/s0021-9258(18)33585-3,,,Matched DOI but no direct open PDF URL found,"9. K. Yamashita, T. Tachibana, T. Nakayama, M. Kitamura, Y. Ito, A. Kobata, Structural study of the carbohydrate moiety of hen ovomucoid. Journal of Biological Chemistry 257, 12809-12814 (1982)."
010,matched-no-open-pdf,2004,"Crystal Structure of Ovocleidin-17, a Major Protein of the Calcified Gallus gallus Eggshell",10.1074/jbc.m406033200,https://doi.org/10.1074/jbc.m406033200,,,Matched DOI but no direct open PDF URL found,"10. J. P. Reyes-Grajeda, A. Moreno, A. Romero, Crystal structure of ovocleidin-17, a major protein of the calcified Gallus gallus eggshell. Journal of Biological Chemistry 279, 40876-40881 (2004)."
011,matched-no-open-pdf,2024,Rapid simulation of glycoprotein structures by grafting and steric exclusion of glycan conformer libraries,10.1016/j.cell.2024.01.034,https://doi.org/10.1016/j.cell.2024.01.034,,,Matched DOI but no direct open PDF URL found,"11. Y.-X. Tsai, N.-E. Chang, K. Reuter, H.-T. Chang, T.-J. Yang, S. von Bülow, V. Sehrawat, N. Zerrouki, M. Tuffery, M. Gecht, I. L. Grothaus, L. C. Ciacchi, Y.-S. Wang, M.-F. Hsu, K.-H. Khoo, G. Hummer, S.-T. D. Hsu, C. Hanus, M. Sikora, Rapid simulation of glycoprotein structures by grafting and steric exclusion of glycan conformer libraries. Cell 187, 1296-1311.e26 (2024)."
012,not-found,2018,,,,,,No confident Crossref match,"12. E. Jurrus, D. Engel, K. Star, K. Monson, J. Brandi, L. E. Felberg, D. H. Brookes, L. Wilson, J. Chen, K. Liles, M. Chun, P. Li, D. W. Gohara, T. Dolinsky, R. Konecny, D. R. Koes, J. E. Nielsen, T. Head-Gordon, W. Geng, R. Krasny, G.-W. Wei, M. J. Holst, J. A. McCammon, N. A. Baker, Improvements to the APBS biomolecular solvation software suite. Protein Science 27, 112-128 (2018)."
013,not-found,2009,,,,,,No confident Crossref match,"13. A. Bar, Calcium transport in strongly calcifying laying birds: the role of calbindin and plasma membrane calcium ATPase. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 152, 447-469 (2009)."
014,downloaded,2021,Functional annotations of three domestic animal genomes provide vital resources for comparative and agricultural research,10.1038/s41467-021-22100-8,https://doi.org/10.1038/s41467-021-22100-8,https://www.nature.com/articles/s41467-021-22100-8.pdf,014_2021_Functional_annotations_of_three_domestic_animal_genomes_provide_vital_resources_for_comparative_and_.pdf,downloaded,"14. C. Kern, Y. Wang, X. Xu, Z. Pan, M. Halstead, G. Chanthavixay, P. Saelao, S. Waters, R. Xiang, A. Chamberlain, I. Korf, M. E. Delany, H. H. Cheng, J. F. Medrano, A. L. V. Eenennaam, C. K. Tuggle, C. Ernst, P. Flicek, G. Quon, P. Ross, H. Zhou, Functional annotations of three domestic animal genomes provide vital resources for comparative and agricultural research. Nature Communications 12, 1821 (2021)."
015,downloaded,2017,The importance of the altricial – precocial spectrum for social complexity in mammals and birds – a review,10.1186/s12983-016-0185-6,https://doi.org/10.1186/s12983-016-0185-6,http://link.springer.com/content/pdf/10.1186/s12983-016-0185-6.pdf,015_2017_The_importance_of_the_altricial_–_precocial_spectrum_for_social_complexity_in_mammals_and_birds_–_a_.pdf,downloaded,"15. I. B. R. Scheiber, B. M. Weiß, S. A. Kingma, J. Komdeur, The importance of the altricial – precocial spectrum for social complexity in mammals and birds – a review. Frontiers in Zoology 14, 3 (2017)."
016,matched-no-open-pdf,2024,Mechanical design principles of avian eggshells for survivability,10.1016/j.actbio.2024.02.036,https://doi.org/10.1016/j.actbio.2024.02.036,,,Matched DOI but no direct open PDF URL found,"16. F. Liu, X. Jiang, Z. Chen, L. Wang, Mechanical design principles of avian eggshells for survivability. Acta Biomaterialia 178, 233-243 (2024)."
017,matched-no-open-pdf,2018,"Nanostructure, osteopontin, and mechanical properties of calcitic avian eggshell",10.1126/sciadv.aar3219,https://doi.org/10.1126/sciadv.aar3219,https://advances.sciencemag.org/content/advances/4/3/eaar3219.full.pdf,,HTTP Error 403: Forbidden,"17. D. Athanasiadou, W. Jiang, D. Goldbaum, A. Saleem, K. S. Bhatt, H. S. Michelmore, R. Marchessault, M. T. Hincke, M. D. McKee, Nanostructure, osteopontin, and mechanical properties of calcitic avian eggshell. Science Advances 4, eaar3219 (2018)."
018,matched-no-open-pdf,2023,Comparative NGlycoproteomic Investigation of Eggshell Cuticle and Mineralized Layer Proteins,10.1021/acs.jafc.3c00708.s002,https://doi.org/10.1021/acs.jafc.3c00708.s002,,,Matched DOI but no direct open PDF URL found,"18. L. Zeng, X. Shi, L. Xuan, J. Zheng, Comparative N-glycoproteomic investigation of eggshell cuticle and mineralized layer proteins. Journal of Agricultural and Food Chemistry 71, 10448-10458 (2023)."
019,matched-no-open-pdf,1999,"Molecular Cloning and Ultrastructural Localization of the Core Protein of an Eggshell Matrix Proteoglycan, Ovocleidin-116",10.1074/jbc.274.46.32915,https://doi.org/10.1074/jbc.274.46.32915,,,Matched DOI but no direct open PDF URL found,"19. M. T. Hincke, Y. Nys, J. Gautron, K. Mann, A. B. Rodríguez-Navarro, M. D. McKee, Molecular cloning and ultrastructural localization of the core protein of an eggshell matrix proteoglycan, ovocleidin-116. Journal of Biological Chemistry 274, 32915-32923 (1999)."
020,matched-no-open-pdf,2015,Amorphous calcium carbonate controls avian eggshell mineralization: A new paradigm for understanding rapid eggshell calcification,10.1016/j.jsb.2015.04.014,https://doi.org/10.1016/j.jsb.2015.04.014,,,Matched DOI but no direct open PDF URL found,"20. A. B. Rodríguez-Navarro, P. Marie, Y. Nys, M. T. Hincke, J. Gautron, Amorphous calcium carbonate controls avian eggshell mineralization: A new paradigm for understanding rapid eggshell calcification. Journal of Structural Biology 190, 291-303 (2015)."
021,matched-no-open-pdf,2002,"Isolation of ovocleidin-116 from chicken eggshells, correction of its amino acid sequence and identification of disulfide bonds and glycosylated Asn",10.1016/s0945-053x(02)00031-8,https://doi.org/10.1016/s0945-053x(02)00031-8,,,Matched DOI but no direct open PDF URL found,"21. K. Mann, M. T. Hincke, Y. Nys, Isolation of ovocleidin-116 from chicken eggshells, correction of its amino acid sequence and identification of disulfide bonds and glycosylated Asn. Matrix Biology 21, 383-387 (2002)."
