# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster1	48	P04210	GO:0002377; P:immunoglobulin production; IBA:GO_Central	Anas|A0A493SXZ2;Anas|A0A493T0Y3;Anas|A0A493T120;Anas|A0A493T3C4;Anas|A0A493T488;Anas|A0A493T6P3;Anas|A0A493T7P7;Anas|A0A493T7W2;Anas|A0A493T835;Anas|A0A493TDR6;Anas|A0A493TL97;Anas|A0A493TNK9;Anas|A0A493TVM7;Anas|A0A493TXM9;Anas|A0A493TXZ2;Anas|A0A493TZB9;Anas|A0A493U2L3;Anas|A0A8B9R3Y6;Anas|A0A8B9R648;Anas|A0A8B9SK35;Anas|A0A8B9UDY2;Anas|A0A8B9UFU2;Anas|A0A8B9UG51;Anas|A0A8B9UGD6;Anas|A0A8B9UGV5;Anas|A0A8B9UH06;Anas|A0A8B9UH20;Anas|A0A8B9UHZ6;Anas|A0A8B9UM59;Anas|A0A8B9V211;Anas|A0A8B9VHH9;Anas|A0A8B9VMA2;Anas|A0A8B9VV09;Anas|A0A8B9W086;Anas|A0A8B9W528;Anas|R0KL71;Anas|R0L107;Anas|U3J1Z3;Columba|A0A2I0LZC1;Gallus|A0A8V0ZQJ4;Gallus|A0A8V0ZVP0;Gallus|A0A8V0ZXT4;Gallus|A0A8V0ZZD4;Gallus|A0A8V0ZZH6;Gallus|A0A8V0ZZJ1;Gallus|A0A8V0ZZT5;Gallus|A0A8V1A3B5;Gallus|A0A8V1A3D7
cluster12	12	P08070	GO:0000278; P:mitotic cell cycle; IBA:GO_Central	Anas|A0A493SVD9;Anas|A0A493SYU1;Anas|A0A8B9SLJ4;Anas|A0A8B9STQ1;Anas|A0A8B9TJB7;Anas|A0A8B9USX6;Columba|A0A2I0LHP7;Columba|A0A2I0LKI5;Columba|A0A2I0LNR9;Columba|A0A2I0LX98;Columba|A0A2I0M1I4;Columba|A0A2I0MKV7
cluster20	11	Q8TE73	GO:0036158; P:outer dynein arm assembly; IMP:SYSCILIA_CCNET	Anas|A0A493T2A8;Anas|A0A8B9QX41;Anas|A0A8B9SUZ0;Anas|A0A8B9SWZ3;Anas|A0A8B9SXA0;Anas|A0A8B9V2Z3;Anas|A0A8C0A014;Columba|A0A2I0MW76;Columba|A0A2I0MX22;Gallus|A0A8V0X370;Gallus|A0A8V0XSB0
cluster41	9	Q9UHP7	GO:0050776; P:regulation of immune response; TAS:Reactome	Anas|A0A493SW97;Anas|A0A493T4Z0;Anas|A0A8B9QX39;Anas|A0A8B9QY04;Anas|A0A8B9T1U1;Anas|A0A8B9T3F4;Columba|A0A2I0MKT2;Gallus|A0A8V0XS33;Gallus|A0A8V0XUK6
cluster53	8	Q29XZ0	GO:0001501; P:skeletal system development; TAS:ProtInc	Anas|A0A493TYC5;Anas|A0A8B9QVE1;Anas|A0A8B9U145;Anas|A0A8B9U2K3;Anas|R0LNU6;Columba|A0A2I0MS15;Columba|A0A2I0MS20;Columba|A0A2I0MS31
cluster59	8	Q76PA0	GO:0050852; P:T cell receptor signaling pathway; IBA:GO_Central	Anas|A0A8B9SNR9;Anas|A0A8B9UI30;Anas|A0A8B9UQG2;Anas|A0A8B9V6U2;Anas|A0A8B9VR76;Columba|A0A2I0LID4;Columba|A0A2I0LP69;Gallus|A0A8V0XH88
cluster145	6	O46631	GO:0050870; P:positive regulation of T cell activation; IBA:GO_Central	Anas|A0A493T069;Anas|A0A493T5P2;Anas|A0A8B9TBK4;Anas|A0A8B9ZHN4;Anas|R0L1T2;Columba|A0A2I0M5V4
cluster180	6	Q32KP2	GO:0005829; C:cytosol; IBA:GO_Central	Anas|A0A493TCD4;Anas|A0A493TK35;Anas|A0A8B9QTY2;Anas|A0A8B9UQ68;Columba|A0A2I0MLQ5;Gallus|A0A8V0ZSZ9
cluster183	6	Q8BQB6	GO:0034453; P:microtubule anchoring; IBA:GO_Central	Anas|A0A8B9TU94;Anas|A0A8B9UQF2;Anas|A0A8B9VF32;Anas|R0JG75;Columba|A0A2I0MDP7;Gallus|F1NE52
cluster196	5	Q13131	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	Anas|A0A493TQZ9;Anas|A0A493TWR6;Anas|A0A8B9SYK4;Anas|R0JT95;Columba|A0A2I0LTY0
cluster249	5	Q99JL1	GO:0007026; P:negative regulation of microtubule depolymerization; IDA:UniProtKB	Anas|A0A493TGR2;Anas|A0A8B9SLX0;Anas|A0A8B9SZ99;Anas|A0A8B9VW23;Columba|A0A2I0LHX3
cluster265	5	Q2IAL6	GO:0010629; P:negative regulation of gene expression; IMP:AgBase	Anas|A0A493U1S6;Anas|A0A8B9QXA6;Anas|A0A8B9UE61;Columba|A0A0H3YPL2;Columba|A0A2I0LKX0
cluster294	5	A6NHC0	GO:0006508; P:proteolysis; IBA:GO_Central	Anas|A0A493T2A2;Anas|A0A8B9TTB2;Anas|A0A8B9VLD3;Columba|A0A2I0M4Z7;Columba|A0A2I0M520
cluster329	5	A2ALS5	GO:0051056; P:regulation of small GTPase mediated signal transduction; IEA:InterPro	Anas|A0A493T587;Anas|A0A493TB73;Anas|A0A8B9TES9;Columba|A0A2I0LYM7;Columba|A0A2I0MLR2
