query_acc	query_name	query_len	subject_db	subject_acc	subject_name	subject_len	score	pct_identity	evalue	q_start	q_end	s_start	s_end
A0A1D5PLF4	A0A1D5PLF4_CHICK Myelin protein zero like 2	213	GlyAnas	A0A493U0T9	A0A493U0T9_ANAPP Hyaluronan and proteoglycan link protein 3	360	99.0	23.2	8.84e-06	24	142	49	168
A0A1D5PLF4	A0A1D5PLF4_CHICK Myelin protein zero like 2	213	GlyAnas	A0A493T5A8	A0A493T5A8_ANAPP CXADR Ig-like cell adhesion molecule	366	83.0	25.7	6.34e-04	39	144	47	153
A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	GlyAnas	A0A8B9QS28	A0A8B9QS28_ANAPL Thrombospondin-2	1182	270.0	29.7	4.51e-25	369	610	336	585
A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	GlyAnas	A0A493T8L7	A0A493T8L7_ANAPP Thrombospondin-1	1178	259.0	32.8	8.50e-24	489	649	393	563
A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	GlyAnas	A0A493TA20	A0A493TA20_ANAPP Thrombospondin type 1 domain containing 4	1028	230.0	27.4	1.96e-20	438	711	639	894
A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	GlyAnas	A0A8B9QYQ8	A0A8B9QYQ8_ANAPL ADAM metallopeptidase with thrombospondin type 1 motif 19	1184	224.0	28.8	9.73e-20	356	590	881	1120
A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	GlyAnas	A0A8B9TBP5	A0A8B9TBP5_ANAPL A disintegrin and metalloproteinase with thrombospondin motifs 1	934	138.0	36.4	9.13e-10	490	562	830	900
A0A1L1RTK2	A0A1L1RTK2_CHICK Torsin family 1 member B	410	GlyAnas	A0A493T607	A0A493T607_ANAPP Torsin family 1 member B	531	1699.0	82.9	5.02e-191	3	406	115	523
A0A1L1RTK2	A0A1L1RTK2_CHICK Torsin family 1 member B	410	GlyAnas	A0A493TT01	A0A493TT01_ANAPP Torsin	317	694.0	49.2	1.73e-74	142	399	56	313
A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	GlyAnas	A0A493T750	A0A493T750_ANAPP Receptor-type tyrosine-protein phosphatase F	1929	9790.0	97.5	0.00e+00	1	1904	1	1929
