# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster14	12	P13538	GO:0003774; F:motor activity; IEA:InterPro	Anas|A0A493TLQ2;Anas|A0A8B9TI10;Columba|A0A2I0LLJ2;Columba|A0A2I0LLJ6;Columba|A0A2I0LN06;Columba|A0A2I0LN15;Columba|A0A2I0LN17;Columba|A0A2I0LN31;Columba|A0A2I0LPD2;Columba|A0A2I0M275;Columba|A0A2I0MW65;Gallus|P13538
cluster25	10	Q9JIQ8	GO:0006508; P:proteolysis; IDA:UniProtKB	Anas|A0A493STU7;Columba|A0A2I0LHH9;Columba|A0A2I0LLM2;Columba|A0A2I0LMH4;Columba|A0A2I0LUL7;Columba|A0A2I0M0C0;Columba|A0A2I0M384;Columba|A0A2I0MN31;Columba|A0A2I0MSP7;Gallus|A0A8V0YFK4
cluster31	9	Q07014	GO:0007169; P:transmembrane receptor protein tyrosine kinase signaling pathway; IBA:GO_Central	Anas|A0A8B9TGL4;Columba|A0A2I0LUN9;Columba|A0A2I0M673;Columba|A0A2I0MD49;Columba|A0A2I0MJ01;Columba|A0A2I0MKF5;Columba|A0A2I0MVY8;Columba|A0A2I0MVY9;Gallus|A0A8V0XDS4
cluster33	9	Q92841	GO:0006364; P:rRNA processing; IEA:UniProtKB-KW	Anas|A0A493TAJ8;Columba|A0A2I0LN65;Columba|A0A2I0MAB0;Columba|A0A2I0MFA6;Columba|A0A2I0MJT5;Columba|R7VWE6;Gallus|A0A3S5ZPN3;Gallus|A0A8V0YJ67;Gallus|A0A8V0YJ71
cluster43	9	P09238	GO:0001666; P:response to hypoxia; IBA:GO_Central	Columba|A0A2I0M2X6;Columba|A0A2I0MCR2;Columba|A0A2I0MCS6;Columba|A0A2I0MCT1;Columba|A0A2I0MCT2;Columba|A0A2I0MCT3;Gallus|A0A8V0XNA3;Gallus|A0A8V0XP02;Gallus|E1C9E0
cluster49	8	Q8IU85	GO:0071622; P:regulation of granulocyte chemotaxis; IMP:UniProtKB	Anas|A0A493T843;Columba|A0A2I0LHX8;Columba|A0A2I0LJQ2;Columba|A0A2I0LN05;Columba|A0A2I0MFR8;Columba|A0A2I0MH53;Columba|R7VPW6;Gallus|A0A8V0XKR3
cluster54	8	P51166	GO:0048511; P:rhythmic process; IEA:UniProtKB-KW	Anas|A0A8B9QLG0;Columba|A0A2I0LHG2;Columba|A0A2I0LHM7;Columba|A0A2I0LZS6;Columba|A0A2I0M2Y0;Columba|A0A2I0MFM8;Columba|A0A2I0MRA7;Gallus|A0A8V1A7M2
cluster60	8	Q64303	GO:0031098; P:stress-activated protein kinase signaling cascade; IBA:GO_Central	Anas|A0A8B9V456;Columba|A0A2I0LMW2;Columba|A0A2I0LS69;Columba|A0A2I0LUS9;Columba|A0A2I0M2P1;Columba|A0A2I0M6D5;Columba|A0A2I0MJ95;Gallus|E1BS97
cluster65	8	Q99729	GO:0045893; P:positive regulation of transcription, DNA-templated; ISS:HGNC	Anas|A0A493TR50;Columba|A0A2I0LJY3;Columba|A0A2I0LNX0;Columba|A0A2I0M3D1;Columba|A0A2I0MA06;Columba|A0A2I0MH00;Columba|A0A2I0MNL8;Gallus|A0A8V0YRG0
cluster77	7	Q99959	GO:0055010; P:ventricular cardiac muscle tissue morphogenesis; IMP:BHF-UCL	Anas|A0A8B9QYP8;Columba|A0A2I0LGI3;Columba|A0A2I0LII3;Columba|A0A2I0M064;Columba|A0A2I0M827;Columba|A0A2I0MKS7;Gallus|A0A8V0Y9L5
