GlyAnas|A0A493T078	GlyAnas|A0A493TL04	GlyAnas|A0A8B9QNT8	GlyAnas|A0A8B9UUI8	GlyAnas|A0A8B9UXD7	GlyAnas|U3IKY8	GlyColumba|A0A1R7T3L5	GlyColumba|A0A2I0M204	GlyColumba|A0A2I0MED6	GlyColumba|A0A2I0MP02	GlyColumba|A0A2I0MW20	GlyColumba|A0A2I0MWA2	GlyGallus|A0A8V0Y614	GlyGallus|A0A8V0YJ25	GlyGallus|P01012
GlyAnas|A0A493STK1	GlyAnas|A0A493TXT6	GlyAnas|A0A8B9SJW6	GlyAnas|A0A8B9T9Y7	GlyAnas|A0A8B9TMM6	GlyAnas|A0A8B9U577	GlyAnas|A0A8B9V535	GlyColumba|A0A2I0MDB7	GlyGallus|A0A1D5PZ68	GlyGallus|A0A8V1AC48
GlyAnas|A0A493T1Z9	GlyAnas|A0A493T5A8	GlyAnas|A0A493T8W1	GlyAnas|A0A493TUB1	GlyAnas|A0A493U044	GlyAnas|A0A8B9THT8	GlyAnas|A0A8B9TJ31	GlyAnas|A0A8B9ZVF8	GlyAnas|R0K6C9
GlyAnas|A0A8B9SYM3	GlyAnas|A0A8B9TKI0	GlyAnas|A0A8B9TT34	GlyColumba|A0A2I0M3B3	GlyColumba|A0A2I0MC29	GlyColumba|A0A2I0MCI7	GlyGallus|A0A8V0YB27	GlyGallus|A0A8V0Z3S9	GlyGallus|A0A8V0ZKI3
GlyAnas|A0A493TA36	GlyAnas|A0A8B9QRE5	GlyAnas|A0A8B9SRR4	GlyAnas|U3IQ52	GlyColumba|A0A2I0LND8	GlyColumba|A0A2I0LW90	GlyColumba|A0A2I0MN05	GlyGallus|R4GFJ0
GlyAnas|A0A8B9QTY5	GlyAnas|A0A8B9SR16	GlyAnas|A0A8B9UQR5	GlyAnas|A0A8B9UUB6	GlyColumba|A0A2I0MHQ6	GlyColumba|A0A2I0MKW7	GlyGallus|A0A8V0ZNE4	GlyGallus|Q98UI9
GlyAnas|A0A493TJE2	GlyColumba|A0A2I0LVH6	GlyColumba|A0A2I0M2D5	GlyColumba|A0A2I0M4F3	GlyColumba|A0A2I0MI18	GlyGallus|A0A8V0YV77	GlyGallus|A0A8V0ZUZ0
GlyAnas|A0A8B9TA08	GlyAnas|A0A8B9U1L6	GlyAnas|A0A8B9U4F1	GlyAnas|A0A8B9ZTS4	GlyColumba|A0A2I0LXV9	GlyColumba|A0A2I0LXW7	GlyGallus|A0A8V0ZTX8
GlyAnas|A0A493SYG4	GlyAnas|A0A8B9TVE4	GlyAnas|A0A8B9V4D6	GlyColumba|A0A2I0LWB2	GlyColumba|A0A2I0MTP6	GlyGallus|A0A8V0YDD6
GlyAnas|A0A493TF01	GlyAnas|A0A8B9VNY9	GlyColumba|A0A2I0MDU8	GlyColumba|A0A2I0MDV9	GlyColumba|A0A2I0ME42	GlyGallus|A0A8V0Z932
GlyAnas|A0A8B9QZ49	GlyAnas|A0A8B9SH23	GlyAnas|A0A8B9V9H7	GlyAnas|A0A8B9Z990	GlyColumba|A0A2I0LIU4	GlyGallus|A0A8V0ZXF2
GlyAnas|A0A493SUZ5	GlyAnas|A0A8B9QZZ5	GlyAnas|A0A8B9UBL3	GlyAnas|A0A8B9VG14	GlyAnas|U3IE29
GlyAnas|A0A493T1A3	GlyAnas|A0A8B9VTH6	GlyColumba|A0A2I0LI51	GlyColumba|A0A2I0LQS3	GlyColumba|A0A2I0MXF2
GlyAnas|A0A493T341	GlyAnas|A0A8B9QKV7	GlyAnas|A0A8B9TDC9	GlyAnas|A0A8B9VYF6	GlyColumba|A0A2I0LS14
GlyAnas|A0A493T607	GlyAnas|A0A493TT01	GlyColumba|A0A2I0LHZ2	GlyColumba|A0A2I0M3R8	GlyColumba|A0A2I0M3T2
GlyAnas|A0A493TA20	GlyAnas|A0A8B9QYQ8	GlyAnas|A0A8B9TBP5	GlyAnas|A0A8B9UPK7	GlyColumba|A0A2I0M6Z2
GlyAnas|A0A493TBW1	GlyAnas|A0A8B9QNQ2	GlyAnas|A0A8B9T7P6	GlyAnas|A0A8B9TSC2	GlyAnas|A0A8B9ZNM3
GlyAnas|A0A493TFF5	GlyAnas|A0A493TYN5	GlyAnas|A0A8B9SZ12	GlyAnas|A0A8B9U8F8	GlyAnas|A0A8B9VAE3
GlyAnas|A0A8B9QS33	GlyAnas|A0A8B9T9X1	GlyColumba|A0A2I0LXU9	GlyColumba|A0A2I0LXV0	GlyColumba|A0A2I0M3T0
GlyAnas|A0A493TQM9	GlyAnas|A0A8B9SN47	GlyAnas|A0A8B9TXF5	GlyColumba|A0A2I0MKA0	GlyGallus|A0A8V0YDB7
GlyAnas|A0A493SVI2	GlyAnas|A0A493TPY5	GlyAnas|A0A8B9V6Z5	GlyColumba|A0A2I0MLD0
GlyAnas|A0A493T0G1	GlyAnas|A0A493TJ28	GlyAnas|A0A493TYN8	GlyAnas|A0A8B9TUB9
GlyAnas|A0A493T750	GlyColumba|A0A2I0MC72	GlyColumba|A0A2I0MJN3	GlyGallus|A0A3Q2TZZ7
GlyAnas|A0A493T8L7	GlyAnas|A0A8B9QS28	GlyColumba|A0A2I0MPF2	GlyGallus|A0A1D5PMF7
GlyAnas|A0A8B9QNN8	GlyAnas|R0L6N3	GlyColumba|A0A2I0MHJ6	GlyGallus|A0A8V1A049
GlyAnas|A0A8B9T868	GlyColumba|A0A2I0M302	GlyGallus|A0A8V0YYS9	GlyGallus|A0A8V0Z1W6
GlyAnas|A0A8B9TUK3	GlyAnas|A0A8B9UVH0	GlyAnas|U3IJ40	GlyColumba|A0A2I0LYY5
GlyAnas|A0A8B9ZY54	GlyAnas|R0LL03	GlyColumba|A0A2I0MGY6	GlyGallus|A0A8V0XA58
GlyAnas|A0A493STI6	GlyAnas|A0A493TL61	GlyAnas|A0A8B9TLE5	GlyColumba|A0A2I0LLK1
GlyAnas|A0A493STK4	GlyAnas|A0A8B9U921	GlyColumba|A0A2I0LS24
GlyAnas|A0A493SY10	GlyColumba|A0A2I0LWI9	GlyGallus|A0A8V0YPM0
GlyAnas|A0A493SYJ2	GlyColumba|A0A2I0M231	GlyGallus|A0A8V0ZV19
GlyAnas|A0A493T9C8	GlyAnas|A0A8B9SV12	GlyAnas|A0A8B9U691
GlyAnas|A0A493T9K3	GlyAnas|A0A493TCQ9	GlyColumba|A0A2I0MDM6
GlyAnas|A0A493TBB4	GlyColumba|A0A2I0LUS7	GlyGallus|A0A8V1A6Y9
GlyAnas|A0A493TB19	GlyAnas|A0A493TC81	GlyColumba|A0A2I0M082
GlyAnas|A0A493TCH4	GlyAnas|A0A8B9SHV6	GlyColumba|A0A2I0MJT8
GlyAnas|A0A493TER4	GlyColumba|A0A2I0M028	GlyGallus|A0A8V0ZV62
GlyAnas|A0A493TG58	GlyColumba|A0A2I0MLY9	GlyGallus|A0A8V0YUU0
GlyAnas|A0A493TLY3	GlyColumba|A0A2I0MIY5	GlyColumba|A0A2I0MXL0
GlyAnas|A0A493TRC9	GlyAnas|A0A8B9T6B8	GlyColumba|A0A2I0LMM5
GlyAnas|A0A493T4C0	GlyAnas|A0A493TZ07	GlyColumba|A0A2I0LJ48
GlyAnas|A0A493TZ56	GlyColumba|A0A2I0LWC3	GlyGallus|A0A8V1AH71
GlyAnas|A0A493U0T9	GlyAnas|A0A8B9STR8	GlyColumba|A0A2I0MDE8
GlyAnas|A0A8B9QMK2	GlyAnas|A0A8B9TPM5	GlyColumba|A0A2I0LK34
GlyAnas|A0A8B9QR69	GlyColumba|A0A2I0M2P9	GlyGallus|A0A8V0XEK3
GlyAnas|A0A8B9QYJ7	GlyAnas|A0A8B9SYM6	GlyColumba|A0A2I0LTU5
GlyAnas|A0A8B9R6K5	GlyAnas|A0A8B9VJN1	GlyGallus|A0A3Q3ADW5
GlyAnas|A0A8B9R8Y2	GlyColumba|A0A2I0MFB5	GlyGallus|A0A8V0Z5X2
GlyAnas|A0A8B9SZ08	GlyColumba|A0A2I0LHM5	GlyColumba|A0A2I0MFW0
GlyAnas|A0A8B9T1P7	GlyAnas|A0A8B9TQS8	GlyColumba|A0A2I0LMD1
GlyAnas|A0A8B9T4I7	GlyAnas|A0A8B9VVM7	GlyColumba|A0A2I0MH12
GlyAnas|A0A8B9TA64	GlyColumba|A0A2I0MQP3	GlyColumba|A0A2I0MQQ3
GlyAnas|A0A8B9TAA9	GlyColumba|A0A2I0MI11	GlyGallus|A0A8V1AHD4
GlyAnas|A0A8B9TB75	GlyColumba|A0A2I0MF50	GlyColumba|A0A2I0MUF3
GlyAnas|A0A8B9TFJ7	GlyAnas|A0A8B9TTS0	GlyColumba|A0A2I0MIT9
GlyAnas|A0A8B9TPW5	GlyAnas|A0A8B9VJL7	GlyColumba|A0A2I0MM37
GlyAnas|A0A8B9U8V9	GlyAnas|A0A8B9VSF2	GlyAnas|A0A8B9ZEV6
GlyColumba|A0A2I0M2C8	GlyGallus|A0A1D5PT25	GlyGallus|A0A8V0YYJ3
GlyColumba|A0A2I0MBF0	GlyColumba|A0A2I0MBK5	GlyColumba|A0A2I0MBN7
GlyColumba|A0A2I0LWP8	GlyColumba|A0A2I0MAC9	GlyColumba|A0A2I0MMW8
GlyAnas|A0A2U8UYC0	GlyAnas|A0A386GZR1
GlyAnas|A0A493SS39	GlyAnas|A0A493T479
GlyAnas|A0A493SSP6	GlyColumba|A0A2I0M0V8
GlyAnas|A0A493SVA0	GlyColumba|A0A2I0LTN4
GlyAnas|A0A493SVU7	GlyColumba|A0A2I0MNY5
GlyAnas|A0A493SWC3	GlyColumba|A0A2I0MKZ6
GlyAnas|A0A493SWZ9	GlyColumba|A0A2I0MS10
GlyAnas|A0A493SY54	GlyColumba|A0A2I0LPZ4
GlyAnas|A0A493T071	GlyAnas|A0A8B9QYW8
GlyAnas|A0A493T253	GlyColumba|A0A2I0MHN0
GlyAnas|A0A493T4Y5	GlyAnas|A0A493U2L9
GlyAnas|A0A493T4Z0	GlyColumba|A0A2I0MKJ4
GlyAnas|A0A493T9Q7	GlyColumba|A0A2I0M2L5
GlyAnas|A0A493TDR5	GlyAnas|A0A493TT23
GlyAnas|A0A493TEG3	GlyAnas|A0A8B9TMJ3
GlyAnas|A0A493TIF4	GlyColumba|A0A2I0LR47
GlyAnas|A0A493TIW4	GlyColumba|A0A2I0M6V3
GlyAnas|A0A493TP75	GlyColumba|A0A2I0MRZ1
GlyAnas|A0A493TSH0	GlyGallus|A0A8V0YMM6
GlyAnas|A0A493U1V1	GlyColumba|A0A2I0MCK4
GlyAnas|A0A493U469	GlyColumba|A0A2I0LVZ8
GlyAnas|A0A8B9QNZ5	GlyColumba|A0A2I0MU06
GlyAnas|A0A8B9QY46	GlyColumba|A0A2I0MCH5
GlyAnas|A0A8B9R233	GlyColumba|A0A2I0LLF2
GlyAnas|A0A8B9R3A4	GlyColumba|A0A2I0MV51
GlyAnas|A0A8B9R685	GlyColumba|A0A2I0LVG2
GlyAnas|A0A8B9R7X7	GlyColumba|A0A2I0MRZ7
GlyAnas|A0A8B9SHS8	GlyColumba|R7VML5
GlyAnas|A0A8B9SQA9	GlyColumba|A0A2I0LS76
GlyAnas|A0A8B9STY5	GlyColumba|A0A2I0M2B8
GlyAnas|A0A8B9SX03	GlyGallus|A0A8V1ADW6
GlyAnas|A0A8B9T1P2	GlyColumba|A0A2I0LLN5
GlyAnas|A0A8B9T243	GlyColumba|A0A2I0LHP6
GlyAnas|A0A8B9T7R4	GlyColumba|A0A2I0MT47
GlyAnas|A0A8B9TDL1	GlyColumba|A0A2I0M6R4
GlyAnas|A0A8B9TH27	GlyColumba|A0A2I0MNF7
GlyAnas|A0A8B9TQE6	GlyColumba|A0A2I0M2X5
GlyAnas|A0A8B9TRY8	GlyColumba|A0A2I0MU58
GlyAnas|A0A8B9TSG9	GlyGallus|A0A8V0Y248
GlyAnas|A0A8B9UBM3	GlyColumba|A0A2I0MSU1
GlyAnas|A0A8B9UC52	GlyColumba|A0A2I0LKB3
GlyAnas|A0A8B9UE55	GlyColumba|A0A2I0M0D4
GlyAnas|A0A8B9V707	GlyGallus|A0A8V0ZA93
GlyAnas|A0A8B9VAR6	GlyAnas|A0A8B9ZCV7
GlyAnas|A0A8B9VEZ8	GlyAnas|U3J7K6
GlyAnas|A0A493STW6	GlyColumba|A0A2I0MSX0
GlyAnas|A0A493SWE9	GlyColumba|A0A2I0M2P0
GlyAnas|A0A8B9SQ56	GlyColumba|A0A2I0MVN7
GlyAnas|A0A8B9SWD8	GlyGallus|P02552
GlyAnas|A0A8B9UTT5	GlyColumba|A0A2I0MA33
GlyAnas|A0A8B9UW68	GlyGallus|A0A8V0ZCK4
GlyAnas|A0A493TMN1	GlyColumba|A0A2I0M1T9
GlyAnas|A0A8B9TSW9	GlyColumba|A0A2I0LXH8
GlyColumba|A0A2I0LJ29	GlyGallus|A0A8V0Y0J2
GlyColumba|A0A2I0LWJ2	GlyGallus|A0A8V0YW85
GlyColumba|A0A2I0LSI4	GlyGallus|A0A8V0X4N4
