Anas|A0A493T078	Anas|A0A493TL04	Anas|A0A8B9QNT8	Anas|A0A8B9UUI8	Anas|A0A8B9UXD7	Anas|U3IKY8	Columba|A0A1R7T3L5	Columba|A0A2I0M204	Columba|A0A2I0MED6	Columba|A0A2I0MP02	Columba|A0A2I0MW20	Columba|A0A2I0MWA2	Gallus|A0A8V0Y614	Gallus|A0A8V0YJ25	Gallus|P01012
Anas|A0A493STK1	Anas|A0A493TXT6	Anas|A0A8B9SJW6	Anas|A0A8B9T9Y7	Anas|A0A8B9TMM6	Anas|A0A8B9U577	Anas|A0A8B9V535	Columba|A0A2I0MDB7	Gallus|A0A1D5PZ68	Gallus|A0A8V1AC48
Anas|A0A493T1Z9	Anas|A0A493T5A8	Anas|A0A493T8W1	Anas|A0A493TUB1	Anas|A0A493U044	Anas|A0A8B9THT8	Anas|A0A8B9TJ31	Anas|A0A8B9ZVF8	Anas|R0K6C9
Anas|A0A8B9SYM3	Anas|A0A8B9TKI0	Anas|A0A8B9TT34	Columba|A0A2I0M3B3	Columba|A0A2I0MC29	Columba|A0A2I0MCI7	Gallus|A0A8V0YB27	Gallus|A0A8V0Z3S9	Gallus|A0A8V0ZKI3
Anas|A0A493TA36	Anas|A0A8B9QRE5	Anas|A0A8B9SRR4	Anas|U3IQ52	Columba|A0A2I0LND8	Columba|A0A2I0LW90	Columba|A0A2I0MN05	Gallus|R4GFJ0
Anas|A0A8B9QTY5	Anas|A0A8B9SR16	Anas|A0A8B9UQR5	Anas|A0A8B9UUB6	Columba|A0A2I0MHQ6	Columba|A0A2I0MKW7	Gallus|A0A8V0ZNE4	Gallus|Q98UI9
Anas|A0A493TJE2	Columba|A0A2I0LVH6	Columba|A0A2I0M2D5	Columba|A0A2I0M4F3	Columba|A0A2I0MI18	Gallus|A0A8V0YV77	Gallus|A0A8V0ZUZ0
Anas|A0A8B9TA08	Anas|A0A8B9U1L6	Anas|A0A8B9U4F1	Anas|A0A8B9ZTS4	Columba|A0A2I0LXV9	Columba|A0A2I0LXW7	Gallus|A0A8V0ZTX8
Anas|A0A493SYG4	Anas|A0A8B9TVE4	Anas|A0A8B9V4D6	Columba|A0A2I0LWB2	Columba|A0A2I0MTP6	Gallus|A0A8V0YDD6
Anas|A0A493TF01	Anas|A0A8B9VNY9	Columba|A0A2I0MDU8	Columba|A0A2I0MDV9	Columba|A0A2I0ME42	Gallus|A0A8V0Z932
Anas|A0A8B9QZ49	Anas|A0A8B9SH23	Anas|A0A8B9V9H7	Anas|A0A8B9Z990	Columba|A0A2I0LIU4	Gallus|A0A8V0ZXF2
Anas|A0A493SUZ5	Anas|A0A8B9QZZ5	Anas|A0A8B9UBL3	Anas|A0A8B9VG14	Anas|U3IE29
Anas|A0A493T1A3	Anas|A0A8B9VTH6	Columba|A0A2I0LI51	Columba|A0A2I0LQS3	Columba|A0A2I0MXF2
Anas|A0A493T341	Anas|A0A8B9QKV7	Anas|A0A8B9TDC9	Anas|A0A8B9VYF6	Columba|A0A2I0LS14
Anas|A0A493T607	Anas|A0A493TT01	Columba|A0A2I0LHZ2	Columba|A0A2I0M3R8	Columba|A0A2I0M3T2
Anas|A0A493TA20	Anas|A0A8B9QYQ8	Anas|A0A8B9TBP5	Anas|A0A8B9UPK7	Columba|A0A2I0M6Z2
Anas|A0A493TBW1	Anas|A0A8B9QNQ2	Anas|A0A8B9T7P6	Anas|A0A8B9TSC2	Anas|A0A8B9ZNM3
Anas|A0A493TFF5	Anas|A0A493TYN5	Anas|A0A8B9SZ12	Anas|A0A8B9U8F8	Anas|A0A8B9VAE3
Anas|A0A8B9QS33	Anas|A0A8B9T9X1	Columba|A0A2I0LXU9	Columba|A0A2I0LXV0	Columba|A0A2I0M3T0
Anas|A0A493TQM9	Anas|A0A8B9SN47	Anas|A0A8B9TXF5	Columba|A0A2I0MKA0	Gallus|A0A8V0YDB7
Anas|A0A493SVI2	Anas|A0A493TPY5	Anas|A0A8B9V6Z5	Columba|A0A2I0MLD0
Anas|A0A493T0G1	Anas|A0A493TJ28	Anas|A0A493TYN8	Anas|A0A8B9TUB9
Anas|A0A493T750	Columba|A0A2I0MC72	Columba|A0A2I0MJN3	Gallus|A0A3Q2TZZ7
Anas|A0A493T8L7	Anas|A0A8B9QS28	Columba|A0A2I0MPF2	Gallus|A0A1D5PMF7
Anas|A0A8B9QNN8	Anas|R0L6N3	Columba|A0A2I0MHJ6	Gallus|A0A8V1A049
Anas|A0A8B9T868	Columba|A0A2I0M302	Gallus|A0A8V0YYS9	Gallus|A0A8V0Z1W6
Anas|A0A8B9TUK3	Anas|A0A8B9UVH0	Anas|U3IJ40	Columba|A0A2I0LYY5
Anas|A0A8B9ZY54	Anas|R0LL03	Columba|A0A2I0MGY6	Gallus|A0A8V0XA58
Anas|A0A493STI6	Anas|A0A493TL61	Anas|A0A8B9TLE5	Columba|A0A2I0LLK1
Anas|A0A493STK4	Anas|A0A8B9U921	Columba|A0A2I0LS24
Anas|A0A493SY10	Columba|A0A2I0LWI9	Gallus|A0A8V0YPM0
Anas|A0A493SYJ2	Columba|A0A2I0M231	Gallus|A0A8V0ZV19
Anas|A0A493T9C8	Anas|A0A8B9SV12	Anas|A0A8B9U691
Anas|A0A493T9K3	Anas|A0A493TCQ9	Columba|A0A2I0MDM6
Anas|A0A493TBB4	Columba|A0A2I0LUS7	Gallus|A0A8V1A6Y9
Anas|A0A493TB19	Anas|A0A493TC81	Columba|A0A2I0M082
Anas|A0A493TCH4	Anas|A0A8B9SHV6	Columba|A0A2I0MJT8
Anas|A0A493TER4	Columba|A0A2I0M028	Gallus|A0A8V0ZV62
Anas|A0A493TG58	Columba|A0A2I0MLY9	Gallus|A0A8V0YUU0
Anas|A0A493TLY3	Columba|A0A2I0MIY5	Columba|A0A2I0MXL0
Anas|A0A493TRC9	Anas|A0A8B9T6B8	Columba|A0A2I0LMM5
Anas|A0A493T4C0	Anas|A0A493TZ07	Columba|A0A2I0LJ48
Anas|A0A493TZ56	Columba|A0A2I0LWC3	Gallus|A0A8V1AH71
Anas|A0A493U0T9	Anas|A0A8B9STR8	Columba|A0A2I0MDE8
Anas|A0A8B9QMK2	Anas|A0A8B9TPM5	Columba|A0A2I0LK34
Anas|A0A8B9QR69	Columba|A0A2I0M2P9	Gallus|A0A8V0XEK3
Anas|A0A8B9QYJ7	Anas|A0A8B9SYM6	Columba|A0A2I0LTU5
Anas|A0A8B9R6K5	Anas|A0A8B9VJN1	Gallus|A0A3Q3ADW5
Anas|A0A8B9R8Y2	Columba|A0A2I0MFB5	Gallus|A0A8V0Z5X2
Anas|A0A8B9SZ08	Columba|A0A2I0LHM5	Columba|A0A2I0MFW0
Anas|A0A8B9T1P7	Anas|A0A8B9TQS8	Columba|A0A2I0LMD1
Anas|A0A8B9T4I7	Anas|A0A8B9VVM7	Columba|A0A2I0MH12
Anas|A0A8B9TA64	Columba|A0A2I0MQP3	Columba|A0A2I0MQQ3
Anas|A0A8B9TAA9	Columba|A0A2I0MI11	Gallus|A0A8V1AHD4
Anas|A0A8B9TB75	Columba|A0A2I0MF50	Columba|A0A2I0MUF3
Anas|A0A8B9TFJ7	Anas|A0A8B9TTS0	Columba|A0A2I0MIT9
Anas|A0A8B9TPW5	Anas|A0A8B9VJL7	Columba|A0A2I0MM37
Anas|A0A8B9U8V9	Anas|A0A8B9VSF2	Anas|A0A8B9ZEV6
Columba|A0A2I0M2C8	Gallus|A0A1D5PT25	Gallus|A0A8V0YYJ3
Columba|A0A2I0MBF0	Columba|A0A2I0MBK5	Columba|A0A2I0MBN7
Columba|A0A2I0LWP8	Columba|A0A2I0MAC9	Columba|A0A2I0MMW8
Anas|A0A2U8UYC0	Anas|A0A386GZR1
Anas|A0A493SS39	Anas|A0A493T479
Anas|A0A493SSP6	Columba|A0A2I0M0V8
Anas|A0A493SVA0	Columba|A0A2I0LTN4
Anas|A0A493SVU7	Columba|A0A2I0MNY5
Anas|A0A493SWC3	Columba|A0A2I0MKZ6
Anas|A0A493SWZ9	Columba|A0A2I0MS10
Anas|A0A493SY54	Columba|A0A2I0LPZ4
Anas|A0A493T071	Anas|A0A8B9QYW8
Anas|A0A493T253	Columba|A0A2I0MHN0
Anas|A0A493T4Y5	Anas|A0A493U2L9
Anas|A0A493T4Z0	Columba|A0A2I0MKJ4
Anas|A0A493T9Q7	Columba|A0A2I0M2L5
Anas|A0A493TDR5	Anas|A0A493TT23
Anas|A0A493TEG3	Anas|A0A8B9TMJ3
Anas|A0A493TIF4	Columba|A0A2I0LR47
Anas|A0A493TIW4	Columba|A0A2I0M6V3
Anas|A0A493TP75	Columba|A0A2I0MRZ1
Anas|A0A493TSH0	Gallus|A0A8V0YMM6
Anas|A0A493U1V1	Columba|A0A2I0MCK4
Anas|A0A493U469	Columba|A0A2I0LVZ8
Anas|A0A8B9QNZ5	Columba|A0A2I0MU06
Anas|A0A8B9QY46	Columba|A0A2I0MCH5
Anas|A0A8B9R233	Columba|A0A2I0LLF2
Anas|A0A8B9R3A4	Columba|A0A2I0MV51
Anas|A0A8B9R685	Columba|A0A2I0LVG2
Anas|A0A8B9R7X7	Columba|A0A2I0MRZ7
Anas|A0A8B9SHS8	Columba|R7VML5
Anas|A0A8B9SQA9	Columba|A0A2I0LS76
Anas|A0A8B9STY5	Columba|A0A2I0M2B8
Anas|A0A8B9SX03	Gallus|A0A8V1ADW6
Anas|A0A8B9T1P2	Columba|A0A2I0LLN5
Anas|A0A8B9T243	Columba|A0A2I0LHP6
Anas|A0A8B9T7R4	Columba|A0A2I0MT47
Anas|A0A8B9TDL1	Columba|A0A2I0M6R4
Anas|A0A8B9TH27	Columba|A0A2I0MNF7
Anas|A0A8B9TQE6	Columba|A0A2I0M2X5
Anas|A0A8B9TRY8	Columba|A0A2I0MU58
Anas|A0A8B9TSG9	Gallus|A0A8V0Y248
Anas|A0A8B9UBM3	Columba|A0A2I0MSU1
Anas|A0A8B9UC52	Columba|A0A2I0LKB3
Anas|A0A8B9UE55	Columba|A0A2I0M0D4
Anas|A0A8B9V707	Gallus|A0A8V0ZA93
Anas|A0A8B9VAR6	Anas|A0A8B9ZCV7
Anas|A0A8B9VEZ8	Anas|U3J7K6
Anas|A0A493STW6	Columba|A0A2I0MSX0
Anas|A0A493SWE9	Columba|A0A2I0M2P0
Anas|A0A8B9SQ56	Columba|A0A2I0MVN7
Anas|A0A8B9SWD8	Gallus|P02552
Anas|A0A8B9UTT5	Columba|A0A2I0MA33
Anas|A0A8B9UW68	Gallus|A0A8V0ZCK4
Anas|A0A493TMN1	Columba|A0A2I0M1T9
Anas|A0A8B9TSW9	Columba|A0A2I0LXH8
Columba|A0A2I0LJ29	Gallus|A0A8V0Y0J2
Columba|A0A2I0LWJ2	Gallus|A0A8V0YW85
Columba|A0A2I0LSI4	Gallus|A0A8V0X4N4
