query_acc	query_name	query_len	subject_db	subject_acc	subject_name	subject_len	score	pct_identity	evalue	q_start	q_end	s_start	s_end
A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	GlyGallus	A0A1D5PMF7	A0A1D5PMF7_CHICK Spondin-1	732	4033.0	100.0	0.00e+00	1	732	1	732
A0A1D5PT25	A0A1D5PT25_CHICK Bactericidal permeability-increasing protein	469	GlyGallus	A0A1D5PT25	A0A1D5PT25_CHICK Bactericidal permeability-increasing protein	469	2393.0	100.0	3.22e-272	1	469	1	469
A0A1D5PT25	A0A1D5PT25_CHICK Bactericidal permeability-increasing protein	469	GlyGallus	A0A8V0YYJ3	A0A8V0YYJ3_CHICK Lipid-binding serum glycoprotein C-terminal domain-containing protein	469	207.0	23.0	9.74e-19	4	461	14	458
A0A1D5PZ68	A0A1D5PZ68_CHICK Semaphorin-3C	751	GlyGallus	A0A1D5PZ68	A0A1D5PZ68_CHICK Semaphorin-3C	751	4002.0	100.0	0.00e+00	1	751	1	751
A0A1D5PZ68	A0A1D5PZ68_CHICK Semaphorin-3C	751	GlyGallus	A0A8V1AC48	A0A8V1AC48_CHICK Semaphorin 3G	761	1606.0	46.3	9.32e-181	21	709	18	714
A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	GlyGallus	A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	9968.0	100.0	0.00e+00	1	1904	1	1904
A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	GlyGallus	A0A8V0YDD6	A0A8V0YDD6_CHICK Fibronectin	2392	394.0	21.9	8.18e-40	190	1255	614	1701
A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	237.0	28.0	1.31e-21	48	338	3208	3470
A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	GlyGallus	A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	2663.0	100.0	1.62e-303	1	480	1	480
A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	GlyGallus	A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	143.0	27.7	2.63e-11	24	143	98	243
A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	141.0	34.1	4.48e-11	78	156	3633	3708
A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	GlyGallus	A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	98.0	29.0	4.34e-06	83	186	41	161
A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	GlyGallus	A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	95.0	29.6	9.67e-06	50	166	458	566
A0A8V0X4N4	A0A8V0X4N4_CHICK Cyclin-dependent kinase-like 5	982	GlyGallus	A0A8V0X4N4	A0A8V0X4N4_CHICK Cyclin-dependent kinase-like 5	982	5156.0	100.0	0.00e+00	1	982	1	982
A0A8V0X4N4	A0A8V0X4N4_CHICK Cyclin-dependent kinase-like 5	982	GlyGallus	A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	118.0	21.7	4.26e-08	363	625	1109	1368
A0A8V0X4N4	A0A8V0X4N4_CHICK Cyclin-dependent kinase-like 5	982	GlyGallus	A0A8V0ZCK4	A0A8V0ZCK4_CHICK TOPBP1 interacting checkpoint and replication regulator	1863	81.0	21.0	8.31e-04	518	950	814	1199
A0A8V0X522	A0A8V0X522_CHICK Calumenin	287	GlyGallus	A0A8V0X522	A0A8V0X522_CHICK Calumenin	287	1551.0	100.0	8.50e-175	1	287	1	287
A0A8V0XA58	A0A8V0XA58_CHICK Matrix extracellular phosphoglycoprotein	752	GlyGallus	A0A8V0XA58	A0A8V0XA58_CHICK Matrix extracellular phosphoglycoprotein	752	3963.0	100.0	0.00e+00	1	752	1	752
A0A8V0XA58	A0A8V0XA58_CHICK Matrix extracellular phosphoglycoprotein	752	GlyGallus	A0A8V0YNU8	A0A8V0YNU8_CHICK Collagen alpha-2(VI) chain	974	96.0	27.7	1.16e-05	351	533	367	536
A0A8V0XEK3	A0A8V0XEK3_CHICK Tsukushi	429	GlyGallus	A0A8V0XEK3	A0A8V0XEK3_CHICK Tsukushi	429	2208.0	100.0	8.33e-251	1	429	1	429
A0A8V0Y0J2	A0A8V0Y0J2_CHICK Clusterin	503	GlyGallus	A0A8V0Y0J2	A0A8V0Y0J2_CHICK Clusterin	503	2658.0	100.0	6.44e-303	1	503	1	503
A0A8V0Y248	A0A8V0Y248_CHICK Sulfhydryl oxidase	741	GlyGallus	A0A8V0Y248	A0A8V0Y248_CHICK Sulfhydryl oxidase	741	3915.0	100.0	0.00e+00	1	741	1	741
A0A8V0Y614	A0A8V0Y614_CHICK Ovalbumin-related protein X (SERPINB14C)	388	GlyGallus	A0A8V0Y614	A0A8V0Y614_CHICK Ovalbumin-related protein X (SERPINB14C)	388	1983.0	100.0	9.27e-225	1	388	1	388
A0A8V0Y614	A0A8V0Y614_CHICK Ovalbumin-related protein X (SERPINB14C)	388	GlyGallus	A0A8V0YJ25	A0A8V0YJ25_CHICK Ovalbumin-related protein Y (SERPINB14B)	422	1496.0	72.7	2.74e-168	1	388	35	422
A0A8V0Y614	A0A8V0Y614_CHICK Ovalbumin-related protein X (SERPINB14C)	388	GlyGallus	P01012	OVAL_CHICK Ovalbumin	386	1233.0	61.9	8.60e-138	1	388	1	386
