# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster1	48	P04210	GO:0002377; P:immunoglobulin production; IBA:GO_Central	Anas|A0A493SXZ2;Anas|A0A493T0Y3;Anas|A0A493T120;Anas|A0A493T3C4;Anas|A0A493T488;Anas|A0A493T6P3;Anas|A0A493T7P7;Anas|A0A493T7W2;Anas|A0A493T835;Anas|A0A493TDR6;Anas|A0A493TL97;Anas|A0A493TNK9;Anas|A0A493TVM7;Anas|A0A493TXM9;Anas|A0A493TXZ2;Anas|A0A493TZB9;Anas|A0A493U2L3;Anas|A0A8B9R3Y6;Anas|A0A8B9R648;Anas|A0A8B9SK35;Anas|A0A8B9UDY2;Anas|A0A8B9UFU2;Anas|A0A8B9UG51;Anas|A0A8B9UGD6;Anas|A0A8B9UGV5;Anas|A0A8B9UH06;Anas|A0A8B9UH20;Anas|A0A8B9UHZ6;Anas|A0A8B9UM59;Anas|A0A8B9V211;Anas|A0A8B9VHH9;Anas|A0A8B9VMA2;Anas|A0A8B9VV09;Anas|A0A8B9W086;Anas|A0A8B9W528;Anas|R0KL71;Anas|R0L107;Anas|U3J1Z3;Columba|A0A2I0LZC1;Gallus|A0A8V0ZQJ4;Gallus|A0A8V0ZVP0;Gallus|A0A8V0ZXT4;Gallus|A0A8V0ZZD4;Gallus|A0A8V0ZZH6;Gallus|A0A8V0ZZJ1;Gallus|A0A8V0ZZT5;Gallus|A0A8V1A3B5;Gallus|A0A8V1A3D7
cluster12	12	P08070	GO:0000278; P:mitotic cell cycle; IBA:GO_Central	Anas|A0A493SVD9;Anas|A0A493SYU1;Anas|A0A8B9SLJ4;Anas|A0A8B9STQ1;Anas|A0A8B9TJB7;Anas|A0A8B9USX6;Columba|A0A2I0LHP7;Columba|A0A2I0LKI5;Columba|A0A2I0LNR9;Columba|A0A2I0LX98;Columba|A0A2I0M1I4;Columba|A0A2I0MKV7
cluster14	12	P13538	GO:0003774; F:motor activity; IEA:InterPro	Anas|A0A493TLQ2;Anas|A0A8B9TI10;Columba|A0A2I0LLJ2;Columba|A0A2I0LLJ6;Columba|A0A2I0LN06;Columba|A0A2I0LN15;Columba|A0A2I0LN17;Columba|A0A2I0LN31;Columba|A0A2I0LPD2;Columba|A0A2I0M275;Columba|A0A2I0MW65;Gallus|P13538
cluster20	11	Q8TE73	GO:0036158; P:outer dynein arm assembly; IMP:SYSCILIA_CCNET	Anas|A0A493T2A8;Anas|A0A8B9QX41;Anas|A0A8B9SUZ0;Anas|A0A8B9SWZ3;Anas|A0A8B9SXA0;Anas|A0A8B9V2Z3;Anas|A0A8C0A014;Columba|A0A2I0MW76;Columba|A0A2I0MX22;Gallus|A0A8V0X370;Gallus|A0A8V0XSB0
cluster25	10	Q9JIQ8	GO:0006508; P:proteolysis; IDA:UniProtKB	Anas|A0A493STU7;Columba|A0A2I0LHH9;Columba|A0A2I0LLM2;Columba|A0A2I0LMH4;Columba|A0A2I0LUL7;Columba|A0A2I0M0C0;Columba|A0A2I0M384;Columba|A0A2I0MN31;Columba|A0A2I0MSP7;Gallus|A0A8V0YFK4
cluster26	9	Q9Y243	GO:0007165; P:signal transduction; IMP:UniProtKB	Anas|A0A493TGV3;Anas|U3ILM2;Columba|A0A2I0LIQ7;Columba|A0A2I0LRD3;Columba|A0A2I0LYH4;Columba|A0A2I0M344;Columba|A0A2I0MBA3;Columba|A0A2I0MH42;Columba|A0A2I0MTK2
cluster31	9	Q07014	GO:0007169; P:transmembrane receptor protein tyrosine kinase signaling pathway; IBA:GO_Central	Anas|A0A8B9TGL4;Columba|A0A2I0LUN9;Columba|A0A2I0M673;Columba|A0A2I0MD49;Columba|A0A2I0MJ01;Columba|A0A2I0MKF5;Columba|A0A2I0MVY8;Columba|A0A2I0MVY9;Gallus|A0A8V0XDS4
cluster49	8	Q8IU85	GO:0071622; P:regulation of granulocyte chemotaxis; IMP:UniProtKB	Anas|A0A493T843;Columba|A0A2I0LHX8;Columba|A0A2I0LJQ2;Columba|A0A2I0LN05;Columba|A0A2I0MFR8;Columba|A0A2I0MH53;Columba|R7VPW6;Gallus|A0A8V0XKR3
cluster53	8	Q29XZ0	GO:0001501; P:skeletal system development; TAS:ProtInc	Anas|A0A493TYC5;Anas|A0A8B9QVE1;Anas|A0A8B9U145;Anas|A0A8B9U2K3;Anas|R0LNU6;Columba|A0A2I0MS15;Columba|A0A2I0MS20;Columba|A0A2I0MS31
cluster54	8	P51166	GO:0048511; P:rhythmic process; IEA:UniProtKB-KW	Anas|A0A8B9QLG0;Columba|A0A2I0LHG2;Columba|A0A2I0LHM7;Columba|A0A2I0LZS6;Columba|A0A2I0M2Y0;Columba|A0A2I0MFM8;Columba|A0A2I0MRA7;Gallus|A0A8V1A7M2
